                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.49914,                 0.4152,                0.90815,                0.96084,                0.91844,                0.96329,                0.87891,                0.44934,                0.36664,                0.81034,               0.005347,               0.005347,               0.005347
                     49,                0.49475,                0.40628,                0.91439,                0.95289,                0.93844,                0.96151,                0.88472,                 0.4212,                0.35815,                0.78514,               0.005248,               0.005248,               0.005248
                     50,                0.49042,                0.40402,                0.90379,                0.95529,                0.92939,                0.96258,                0.88475,                0.43886,                0.37958,                0.80027,               0.005149,               0.005149,               0.005149
                     51,                0.47699,                0.39583,                0.89751,                0.95717,                0.92395,                0.96662,                0.89357,                0.42445,                0.35865,                0.80068,                0.00505,                0.00505,                0.00505
                     52,                0.47045,                0.39192,                0.89889,                0.96464,                0.92837,                0.96443,                0.89198,                0.41752,                0.33655,                 0.7945,               0.004951,               0.004951,               0.004951
                     53,                0.47369,                0.39527,                0.90202,                0.97617,                0.92251,                0.96934,                 0.8947,                 0.4085,                0.33905,                0.78145,               0.004852,               0.004852,               0.004852
                     54,                0.47186,                 0.3947,                0.89764,                0.97703,                0.91733,                0.96285,                0.88036,                0.45209,                0.35264,                0.80119,               0.004753,               0.004753,               0.004753
                     55,                0.46741,                0.39141,                0.90196,                0.96387,                0.92769,                  0.969,                0.88949,                 0.4216,                0.33932,                0.78857,               0.004654,               0.004654,               0.004654
                     56,                0.46989,                0.38439,                0.89896,                0.97423,                0.91934,                0.96654,                0.89448,                0.43671,                0.34308,                0.78732,               0.004555,               0.004555,               0.004555
                     57,                0.47319,                0.38796,                0.90355,                0.96691,                0.91474,                0.96292,                  0.884,                0.42287,                0.36175,                0.78166,               0.004456,               0.004456,               0.004456
                     58,                0.46757,                0.37877,                0.90417,                0.95765,                0.92078,                 0.9646,                0.89724,                0.41888,                0.35565,                0.78521,               0.004357,               0.004357,               0.004357
                     59,                0.45605,                0.38245,                0.89391,                0.95972,                0.92893,                0.96801,                0.89762,                0.41074,                0.34659,                0.78684,               0.004258,               0.004258,               0.004258
                     60,                0.45581,                0.37897,                0.88701,                0.97211,                0.92266,                0.96535,                0.89496,                0.41748,                0.34404,                 0.7883,               0.004159,               0.004159,               0.004159
                     61,                0.43764,                0.36777,                0.88383,                 0.9546,                0.93659,                0.96325,                0.88952,                0.40204,                0.35276,                0.78108,                0.00406,                0.00406,                0.00406
                     62,                0.44917,                 0.3688,                0.88484,                0.97598,                0.91132,                0.95954,                0.89695,                0.40194,                0.34713,                0.78381,               0.003961,               0.003961,               0.003961
                     63,                0.44802,                0.36611,                0.88781,                0.97109,                0.92251,                0.96629,                0.89924,                 0.4016,                0.34064,                0.78629,               0.003862,               0.003862,               0.003862
                     64,                0.43358,                0.35428,                0.88727,                 0.9698,                 0.9251,                0.96522,                0.89336,                0.42415,                 0.3474,                0.78998,               0.003763,               0.003763,               0.003763
                     65,                0.43451,                0.35334,                0.88147,                0.94925,                0.94103,                0.96835,                0.90306,                0.41457,                0.33271,                0.79429,               0.003664,               0.003664,               0.003664
                     66,                0.43756,                0.35858,                0.88018,                0.94948,                0.93721,                 0.9705,                0.89945,                0.40088,                0.33823,                0.78081,               0.003565,               0.003565,               0.003565
                     67,                0.42904,                0.36781,                0.88124,                0.97223,                0.91699,                0.96241,                0.89634,                0.40307,                0.33839,                 0.7778,               0.003466,               0.003466,               0.003466
